"x","yhat"
18.5,1.09367872583275
18.887,1.08474974191234
19.274,1.07614608151876
19.661,1.0678638130849
20.048,1.05989900504362
20.435,1.05224772582778
20.822,1.04490604387026
21.209,1.03787002760392
21.596,1.03113574546163
21.983,1.02469926587625
22.37,1.01855665728066
22.757,1.01270398810772
23.144,1.0071373267903
23.531,1.00185274176127
23.918,0.996846301453489
24.305,0.992114074299833
24.692,0.987652128733166
25.079,0.983456533186358
25.466,0.979523356092274
25.853,0.975848665883783
26.24,0.972428530993752
26.627,0.969259019855048
27.014,0.96633620090054
27.401,0.963656142563095
27.788,0.961214913275581
28.175,0.959008581470865
28.562,0.957033215581814
28.949,0.955284884041296
29.336,0.95375965528218
29.723,0.952453597737332
30.11,0.95136277983962
30.497,0.950483270021912
30.884,0.949811136717075
31.271,0.949342448357976
31.658,0.949076862280585
32.045,0.949190373879199
32.432,0.949712426688021
32.819,0.95054574282738
33.206,0.9515930444176
33.593,0.952757053579007
33.98,0.953940492431929
34.367,0.955046083096691
34.754,0.95597654769362
35.141,0.956634608343041
35.528,0.956922987165282
35.915,0.956771452535244
36.302,0.956238175290573
36.689,0.955302044691406
37.076,0.953926644055779
37.463,0.952075556701732
37.85,0.949710055008126
38.237,0.946657887456517
38.624,0.942916436967255
39.011,0.938608143575362
39.398,0.933855447315858
39.785,0.928780788223764
40.172,0.923506606334101
40.559,0.918129425703449
40.946,0.911506730762083
41.333,0.903509669765281
41.72,0.894885109505028
42.107,0.886379916773306
42.494,0.878740958362101
42.881,0.872799160872414
43.268,0.869168755668286
43.655,0.866825914983991
44.042,0.864544766330975
44.429,0.861099437220683
44.816,0.855264055164562
45.203,0.845812747674057
45.59,0.832469799880993
45.977,0.817143203812653
46.364,0.800277420285731
46.751,0.782227157279572
47.138,0.76334712277352
47.525,0.743992024746921
47.912,0.724516571179119
48.299,0.705332490135675
48.686,0.686726890030016
49.073,0.668687077886584
49.46,0.651192184982243
49.847,0.634221342593857
50.234,0.61775368199829
50.621,0.601768334472405
51.008,0.586244431293067
51.395,0.571161103737139
51.782,0.556497483081484
52.169,0.542232700602968
52.556,0.528345887578453
52.943,0.514816175284803
53.33,0.501622694998882
53.717,0.488744577997553
54.104,0.476160955557681
54.491,0.46385095895613
54.878,0.451793719469762
55.265,0.439968368375442
55.652,0.428354036950034
56.039,0.416929856470401
56.426,0.405674958213408
56.813,0.394568473455917
57.2,0.383589533474793
